Number of Buildings Mentioned,What Happened,Type of Building,housing sector losses reported,text,primary_country,date_posted,format,url,NER_extracted_geolocation
" 6,444              ", Collapsed                  , Unknown           , Unknown                       ,"Official figures confirm that while 6,444 buildings collapsed, more than 11,340 buildings destroyed.",Türkiye,2023-02-11 00:00:00+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-and-syria-earthquake-emergency-situation-update-2,
" 11,340             ", Destroyed                  , Unknown           , Unknown                       ,"Official figures confirm that while 6,444 buildings collapsed, more than 11,340 buildings destroyed.",Türkiye,2023-02-11 00:00:00+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-and-syria-earthquake-emergency-situation-update-2,
 ------------------ , --------------------------- , ---------------- , ----------------------------- ,"At least 150,000 people are homeless due to the quakes.",Türkiye,2023-02-11 00:00:00+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-and-syria-earthquake-emergency-situation-update-2,
       N/A          ,       N/A                   ,      N/A         ,"          150,000              ","At least 150,000 people are homeless due to the quakes.",Türkiye,2023-02-11 00:00:00+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-and-syria-earthquake-emergency-situation-update-2,
 :---: , :---: , :---: , :---: ,Prior to the quakes 6 or 7 people were sharing tents due to the scale of displaced from the conflict.,Syria,2023-02-11 18:04:07+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/worst-needs-earthquake-over-decade-will-take-over-generation-recover-world-vision,
 0 , 0 , N/A , N/A ,Prior to the quakes 6 or 7 people were sharing tents due to the scale of displaced from the conflict.,Syria,2023-02-11 18:04:07+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/worst-needs-earthquake-over-decade-will-take-over-generation-recover-world-vision,
 6 , N/A , Household , N/A ,Prior to the quakes 6 or 7 people were sharing tents due to the scale of displaced from the conflict.,Syria,2023-02-11 18:04:07+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/worst-needs-earthquake-over-decade-will-take-over-generation-recover-world-vision,
 7 , N/A , Household , N/A ,Prior to the quakes 6 or 7 people were sharing tents due to the scale of displaced from the conflict.,Syria,2023-02-11 18:04:07+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/worst-needs-earthquake-over-decade-will-take-over-generation-recover-world-vision,
-----------,--------------------,------------------,------------------------------------,"Shelter/NFIs: Official figures stand at 6,444 buildings collapsed, but the disaster management agency received reports of more than 11,340 buildings destroyed.",Türkiye,2023-02-10 18:14:42+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-earthquake-february-2023-daily-highlights-10022023,
" 6,444     ", Collapsed          , Unknown            , Unknown                              ,"Shelter/NFIs: Official figures stand at 6,444 buildings collapsed, but the disaster management agency received reports of more than 11,340 buildings destroyed.",Türkiye,2023-02-10 18:14:42+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-earthquake-february-2023-daily-highlights-10022023,
" 11,340    ", Destroyed           ," Household, Residence ", Unknown                              ,"Shelter/NFIs: Official figures stand at 6,444 buildings collapsed, but the disaster management agency received reports of more than 11,340 buildings destroyed.",Türkiye,2023-02-10 18:14:42+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-earthquake-february-2023-daily-highlights-10022023,
---------------------,------------------,-----------------,-----------------------,More than 320 buildings have been partially damaged and 224 were completely destroyed in 17 sub- districts.,Türkiye,2023-02-10 17:52:32+00:00,Situation Report,https://reliefweb.int/report/turkiye/earthquake-turkiye-and-north-west-syria-flash-update-1-9-february-2023,
 320                 , Partially Damaged , Not Specified   , Not Specified         ,More than 320 buildings have been partially damaged and 224 were completely destroyed in 17 sub- districts.,Türkiye,2023-02-10 17:52:32+00:00,Situation Report,https://reliefweb.int/report/turkiye/earthquake-turkiye-and-north-west-syria-flash-update-1-9-february-2023,
 224                 , Completely       , Not Specified   , Not Specified         ,More than 320 buildings have been partially damaged and 224 were completely destroyed in 17 sub- districts.,Türkiye,2023-02-10 17:52:32+00:00,Situation Report,https://reliefweb.int/report/turkiye/earthquake-turkiye-and-north-west-syria-flash-update-1-9-february-2023,
                     , Destroyed        ,                 ,                       ,More than 320 buildings have been partially damaged and 224 were completely destroyed in 17 sub- districts.,Türkiye,2023-02-10 17:52:32+00:00,Situation Report,https://reliefweb.int/report/turkiye/earthquake-turkiye-and-north-west-syria-flash-update-1-9-february-2023,
                     ,                  , Household       , Not Specified         ,More than 320 buildings have been partially damaged and 224 were completely destroyed in 17 sub- districts.,Türkiye,2023-02-10 17:52:32+00:00,Situation Report,https://reliefweb.int/report/turkiye/earthquake-turkiye-and-north-west-syria-flash-update-1-9-february-2023,
                     ,                  , Residence       , Not Specified         ,More than 320 buildings have been partially damaged and 224 were completely destroyed in 17 sub- districts.,Türkiye,2023-02-10 17:52:32+00:00,Situation Report,https://reliefweb.int/report/turkiye/earthquake-turkiye-and-north-west-syria-flash-update-1-9-february-2023,
 :----------------- , :-----------: , :-----------: , :-------------------: ,"More than 1,700 buildings have collapsed or been damaged, and communities have only limited machinery to remove rubble.",Syria,2023-02-10 18:52:51+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/facts-earthquake-disaster-syria,
"       1,700        ",   Collapsed   ,   Unknown     ,          N/A          ,"More than 1,700 buildings have collapsed or been damaged, and communities have only limited machinery to remove rubble.",Syria,2023-02-10 18:52:51+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/facts-earthquake-disaster-syria,
       Unknown      ,    Damaged    ,   Unknown     ,          N/A          ,"More than 1,700 buildings have collapsed or been damaged, and communities have only limited machinery to remove rubble.",Syria,2023-02-10 18:52:51+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/facts-earthquake-disaster-syria,
 :----------------: , :-----------: , :-------------: , :----------------------------: ,"It is estimated that over 6,400 buildings collapsed during the earthquake.",Türkiye,2023-02-10 13:25:26+00:00,Situation Report,https://reliefweb.int/report/turkiye/unhcr-turkiye-emergency-response-earthquake-9-february-2023,
"        6,400       ",   Collapsed   ,   Household     ,             N/A                ,"It is estimated that over 6,400 buildings collapsed during the earthquake.",Türkiye,2023-02-10 13:25:26+00:00,Situation Report,https://reliefweb.int/report/turkiye/unhcr-turkiye-emergency-response-earthquake-9-february-2023,
         N/A        ,    Damaged    ,   Residence     ,             N/A                ,"It is estimated that over 6,400 buildings collapsed during the earthquake.",Türkiye,2023-02-10 13:25:26+00:00,Situation Report,https://reliefweb.int/report/turkiye/unhcr-turkiye-emergency-response-earthquake-9-february-2023,
         N/A        ,   Destroyed   ,      N/A        ,             N/A                ,"It is estimated that over 6,400 buildings collapsed during the earthquake.",Türkiye,2023-02-10 13:25:26+00:00,Situation Report,https://reliefweb.int/report/turkiye/unhcr-turkiye-emergency-response-earthquake-9-february-2023,
 --- , --- , --- , --- ,"Thousands of buildings collapsed throughout the region.ii As of Tuesday afternoon, nearly 8,000 people have been rescued by search and rescue teams in Türkiye.",Türkiye,2023-02-09 22:49:01+00:00,News and Press Release,https://reliefweb.int/report/turkiye/2023-turkiye-syria-earthquakes-response-situation-report-4-february-9-2023,Türkiye
 Thousands (exact number not given) , Collapsed , Not specified , Not specified ,"Thousands of buildings collapsed throughout the region.ii As of Tuesday afternoon, nearly 8,000 people have been rescued by search and rescue teams in Türkiye.",Türkiye,2023-02-09 22:49:01+00:00,News and Press Release,https://reliefweb.int/report/turkiye/2023-turkiye-syria-earthquakes-response-situation-report-4-february-9-2023,Türkiye
 Not specified , Damaged , Household and Residence , Not specified ,"Thousands of buildings collapsed throughout the region.ii As of Tuesday afternoon, nearly 8,000 people have been rescued by search and rescue teams in Türkiye.",Türkiye,2023-02-09 22:49:01+00:00,News and Press Release,https://reliefweb.int/report/turkiye/2023-turkiye-syria-earthquakes-response-situation-report-4-february-9-2023,Türkiye
 Not specified , Destroyed , Not specified , Not specified ,"Thousands of buildings collapsed throughout the region.ii As of Tuesday afternoon, nearly 8,000 people have been rescued by search and rescue teams in Türkiye.",Türkiye,2023-02-09 22:49:01+00:00,News and Press Release,https://reliefweb.int/report/turkiye/2023-turkiye-syria-earthquakes-response-situation-report-4-february-9-2023,Türkiye
 Not specified , Not specified , Not specified , Not specified ,"Thousands of buildings collapsed throughout the region.ii As of Tuesday afternoon, nearly 8,000 people have been rescued by search and rescue teams in Türkiye.",Türkiye,2023-02-09 22:49:01+00:00,News and Press Release,https://reliefweb.int/report/turkiye/2023-turkiye-syria-earthquakes-response-situation-report-4-february-9-2023,Türkiye
